Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E07000064,1510,752,1114,1323,,E07000064,460,400,925,1890,3675,,3.56525734342021,3.17897694729317,2.87621784059164,3.04688519083771,3.1215598441875
E07000065,1958,2024,3449,2990,,E07000065,950,770,1980,3685,7385,,3.86835049964797,3.29181268746712,3.30621050816776,3.53769319436739,3.47567118832443
E07000066,2588,1633,2558,2194,,E07000066,1120,885,1515,2290,5810,,3.76417613239033,3.41296427199666,3.21298618473667,3.40790054014263,3.34123662323869
E07000067,1822,1135,1896,1820,,E07000067,920,700,1585,2610,5815,,3.76454971906447,3.26054837263698,3.05499586152914,3.27783833300205,3.26007138798507
E07000068,1268,816,1419,1598,,E07000068,650,545,920,1425,3540,,3.54900326202579,3.10311925354571,2.91169015875386,3.15198239545747,3.20357677497797
E07000069,1179,714,1069,907,,E07000069,460,365,755,1115,2695,,3.43055876952276,3.07151380509509,2.85369821177617,3.02897770520878,2.95760728706009
E07000070,3065,1686,2816,2672,,E07000070,1115,915,1725,2645,6400,,3.80617997398389,3.48643047885443,3.22685757028872,3.44963265047007,3.42683645380351
E07000071,2116,1363,2467,2744,,E07000071,945,785,1580,2640,5950,,3.77451696572855,3.32551566336315,3.13449585583467,3.39216914948974,3.43838410703471
E07000072,2345,1456,2530,2745,,E07000072,1155,840,1725,2600,6320,,3.80071707828238,3.3701428470511,3.16316137497702,3.40312052117582,3.43854234878611
E07000073,962,471,726,855,,E07000073,435,315,615,825,2190,,3.34044411484012,2.98317507203781,2.6730209071289,2.86093662070009,2.93196611472817
E07000074,842,503,956,1125,,E07000074,455,370,815,1440,3080,,3.48855071650044,2.92531209149965,2.70156798505593,2.9804578922761,3.05115252244738
E07000075,965,612,927,936,,E07000075,515,380,830,1285,3010,,3.47856649559384,2.98452731334379,2.78675142214556,2.9670797341445,2.9712758487381
E07000076,951,563,872,975,,E07000076,495,425,1000,1940,3860,,3.58658730467175,2.97818051693741,2.75050839485135,2.94051648493257,2.98900461569854
E07000077,1357,944,1729,1709,,E07000077,720,550,1195,2195,4660,,3.66838591669,3.13257984765974,2.97497199429807,3.23779499327392,3.23274206272074
E07000078,1854,1213,2167,2444,,E07000078,880,630,1195,1820,4525,,3.65561858354122,3.26810972980848,3.08386080086657,3.33585891131982,3.38810120157052
E07000079,1202,898,1672,1858,,E07000079,720,610,1380,2755,5465,,3.73759016628572,3.07990446766672,2.9532763366673,3.223236273103,3.26904570965762
E07000080,721,517,968,901,,E07000080,405,300,825,1940,3470,,3.54032947479087,2.85793526471943,2.71349054309394,2.98587535730839,2.95472479097906
E07000081,1108,687,1242,1420,,E07000081,540,370,780,1290,2980,,3.47421626407626,3.04453976039241,2.83695673705955,3.09412159584056,3.15228834438306
E07000082,1142,823,1598,1780,,E07000082,665,530,1400,2725,5320,,3.72591163229505,3.05766610390983,2.91539983521227,3.20357677497797,3.25042000230889
E07000083,858,611,1106,1257,,E07000083,500,385,865,1760,3510,,3.54530711646582,2.93348728784871,2.78604121024255,3.04375512696868,3.09933527768596
E07000084,2072,1392,2232,2317,,E07000084,1130,945,1795,2710,6580,,3.81822589361396,3.3163897510732,3.14363923527454,3.34869419026554,3.36492603378998
E07000085,1430,1083,1973,2242,,E07000085,850,730,1625,2665,5870,,3.76863810124761,3.15533603746506,3.03462845662532,3.29512708525219,3.35063560825895
E07000086,1650,1119,1990,1946,,E07000086,660,600,1290,1750,4300,,3.63346845557959,3.21748394421391,3.04883008652835,3.29885307640971,3.28914283593233
E07000087,1404,840,1635,1601,,E07000087,620,420,1035,1640,3715,,3.56995881809659,3.14736710779379,2.92427928606188,3.2135177569963,3.2043913319193
E07000088,571,337,621,453,,E07000088,305,230,480,630,1645,,3.21616590228599,2.75663610824585,2.52762990087134,2.79309160017658,2.65609820201283
E07000089,1245,745,1390,1602,,E07000089,735,600,1275,1800,4410,,3.64443858946784,3.09516935143175,2.87215627274829,3.14301480025409,3.20466251174822
E07000090,1514,927,1500,1567,,E07000090,545,485,970,1455,3455,,3.53844805171022,3.18012587516405,2.9670797341445,3.17609125905568,3.19506899646859
E07000091,1782,1188,2253,2690,,E07000091,1040,755,1925,3480,7200,,3.85733249643127,3.25090769970086,3.07481644064517,3.35276119172383,3.42975228000241
E07000092,1152,668,1220,1377,,E07000092,485,380,785,1090,2740,,3.43775056282039,3.06145247908719,2.82477646247555,3.08635983067475,3.13893394025692
