la,"(0, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 89)","(90, 100)",Total
E08000017,315,580,1305,415,350,750,920,585,290,140,240,1085,1395,25,175,415,490,9475
E08000018,145,615,1195,285,320,640,575,425,370,135,180,860,525,20,165,345,430,7230
E08000019,180,1385,1925,505,760,1335,645,1055,1145,280,540,2475,1160,10,340,1025,1140,15905
E08000021,45,350,745,185,225,735,165,745,610,200,390,1510,630,15,170,525,680,7925
E08000022,45,380,665,180,190,430,135,435,365,80,145,895,400,0,105,265,345,5060
E08000023,25,290,455,85,95,325,125,335,140,45,70,615,290,0,65,155,250,3365
E08000024,55,460,805,210,205,635,260,580,265,85,145,820,435,0,115,295,455,5825
E08000025,50,2645,3045,1125,1730,3595,2075,1950,2535,620,1320,5615,5285,15,850,2770,1885,37110
E08000026,40,700,940,385,380,835,860,490,940,155,285,1920,800,10,180,590,555,10065
E08000027,25,1090,1385,430,565,840,515,540,470,155,250,1300,665,0,285,510,575,9600
E08000028,10,975,890,420,575,920,1010,580,355,115,260,815,620,0,175,575,460,8755
E08000029,125,310,1050,155,325,495,270,295,845,245,390,1855,725,10,170,465,485,8215
E08000030,40,830,1090,310,415,725,685,465,315,100,225,850,540,0,145,460,465,7660
E08000031,10,695,960,285,380,815,690,430,385,140,240,895,570,0,125,515,425,7560
E08000032,320,1185,1565,655,880,1770,730,1095,895,300,550,2275,1230,10,305,950,950,15665
E08000033,290,770,1000,300,400,705,285,565,555,150,230,1200,520,10,185,395,540,8100
E08000034,365,1375,1785,630,755,1475,695,1000,780,250,495,2080,1120,10,280,850,835,14780
E08000035,340,1600,3355,800,1140,2115,1660,1620,2200,715,1220,5260,2595,30,450,1500,1625,28225
E08000036,205,745,1330,450,405,875,850,695,420,170,300,1140,710,20,185,465,575,9540
E08000037,60,400,675,205,255,490,170,395,285,85,195,745,430,0,100,245,345,5080
E09000001,25,700,575,20,525,490,220,420,1835,3115,860,7855,6475,5,185,225,890,24420
E09000002,10,290,1355,210,340,495,505,300,580,60,125,870,650,0,135,590,270,6785
E09000003,25,595,2975,325,1155,1600,515,815,2555,395,1950,4990,2150,5,435,1160,1420,23065
E09000004,5,420,1810,215,265,550,330,415,1040,140,175,1525,750,0,175,585,460,8860
E09000005,0,540,2070,380,905,1365,570,690,1800,200,675,2580,1255,0,285,745,875,14935
E09000006,60,485,2300,250,480,940,260,615,2020,300,435,3455,1370,0,355,740,1050,15115
E09000007,25,810,1270,130,1115,1745,300,1300,4105,680,1330,9725,2820,10,490,1060,2525,29440
E09000008,20,490,2145,335,495,1110,395,755,1940,245,430,2965,1290,0,345,1030,835,14825
E09000009,10,695,2295,360,1055,1665,735,730,2400,210,620,3315,1555,0,330,795,1115,17885
E09000010,30,505,1965,340,685,1015,515,580,1245,175,570,2300,1210,0,245,805,780,12965
E09000011,5,330,1250,155,250,720,295,465,1435,130,235,2180,935,0,240,720,610,9955
E09000012,15,670,1090,110,555,1295,255,930,3540,240,1110,5035,1565,0,330,775,1480,18995
E09000013,15,375,785,120,465,910,190,625,1835,270,475,3450,1305,5,245,615,1070,12755
