CompanyNumber,Date,OldPostcode,NewPostcode,OldLocalAuthority,NewLocalAuthority,RegisteredStaff,IncorperationDate,NFiles
08448724,2017-09-21,SE24 9AE,SL9 7JY,E09000022,E07000006,1,2013-03-18,12
03134623,2002-07-29,TW5 9QA,LU5 5XE,E09000018,E06000056,6,1995-12-06,53
03134623,2007-11-06,LU5 5XE,EC2Y 5DH,E06000056,E09000001,5,1995-12-06,84
03134623,2008-01-31,EC2Y 5DH,E1W 1YW,E09000001,E09000030,4,1995-12-06,91
03134623,2009-10-19,E1W 1YW,AL10 9AX,E09000030,E07000241,4,1995-12-06,95
09271261,2015-10-30,DY4 7JN,B68 9RA,E08000028,E08000028,1,2014-10-20,3
03088594,1995-08-11,M3 2ER,YO11 1XW,E08000003,E07000168,1,1995-08-08,4
03088594,1998-07-15,YO11 1XW,SW19 8AQ,E07000168,E09000024,2,1995-08-08,17
03088594,2010-08-11,SW19 8AQ,HU1 2SG,E09000024,E06000010,2,1995-08-08,49
03088594,2014-01-06,HU1 2SG,YO12 5AT,E06000010,E07000168,2,1995-08-08,60
03088594,2016-08-01,YO12 5AT,YO25 6PN,E07000168,E06000011,2,1995-08-08,74
03088594,2016-11-15,YO25 6PN,YO25 6DA,E06000011,E06000011,2,1995-08-08,75
06051575,2010-09-21,AL3 8RS,AL1 2HX,E07000096,E07000240,2,2007-01-12,11
03355331,1997-09-02,EC2A 4SD,NW1 5BY,E09000012,E09000033,4,1997-04-17,5
03355331,1997-10-20,NW1 5BY,NW1 5BY,E09000033,E09000033,2,1997-04-17,8
03355331,2002-06-19,NW1 5BY,NW1 5BY,E09000033,E09000033,2,1997-04-17,19
03355331,2007-06-22,NW1 5BY,NW8 7NJ,E09000033,E09000033,2,1997-04-17,30
NI653713,2018-06-27,BT47 2UA,BT48 7RZ,N09000005,N09000005,1,2018-06-14,2
07980760,2013-03-19,AL10 9NA,EN4 9HN,E07000241,E09000003,1,2012-03-07,4
04636650,2003-08-27,TQ12 2BG,TQ12 2QA,E07000045,E07000045,1,2003-01-14,4
03370259,2001-08-29,W1V 3DF,WC2H 0QT,E09000033,E09000033,4,1997-05-14,16
03370259,2010-05-07,WC2H 0QT,WC2H 9DG,E09000033,E09000007,4,1997-05-14,33
03370259,2013-08-23,WC2H 9DG,W1D 1LP,E09000007,E09000033,4,1997-05-14,45
05089835,2004-04-08,N1 6DR,LL28 5YL,E09000012,W06000003,1,2004-03-31,5
